Linha;equipamento
LM-01010;ELEVATORIA SAID 01
LM-01010;FILT DECLORADOR 01
LM-01010;FILT DECLORADOR 02
LM-01010;FILT POLIDOR 01
LM-01010;FILT POLIDOR 02
LM-01010;FILT POLIDOR 03
LM-01010;FILT POLIDOR 04
LM-01010;FILT POLIDOR 05
LM-01010;FILT POLIDOR 06
LM-01010;FILTRO CARVAO 01
LM-01010;FILTRO CARVAO 02
LM-01010;OSMOSE REVERSA 01
LM-01010;OSMOSE REVERSA 02
LM-01010;PRODUTO QUIMICO 01
LM-01010;REATOR ANI CAT 01
LM-01010;REATOR ANI CAT 02
LM-01010;TQ AGUA 01
LM-01010;TQ AGUA 02
LM-01010;TQ AGUA 03
LM-01010;TQ AGUA 04
LM-01010;TQ AGUA 05
LM-01110;DECANTADOR PRIM 01
LM-01110;DECANTADOR PRIM 02
LM-01110;ELEVATORIA SAID 01
LM-01110;FILT CARVAO 01
LM-01110;FILT POLIDOR 01
LM-01110;OSMOSE REVERSA 01
LM-01110;PRENSA LODO 01
LM-01110;PRODUTO QUIMICO 01
LM-01110;SEPAR AGUA OLEO 01
LM-01110;SILO DE CAL 02
LM-01110;TQ AGUA 01
LM-01110;TQ AGUA 02
LM-01110;TQ AGUA 03
LM-01110;TQ COAGULACAO 01
LM-01110;TQ CONDICIONAME 01
LM-01110;TQ CONDICIONAME 02
LM-01110;TQ DE AERACAO 01
LM-01110;TQ DRENADOS
LM-01110;TQ EQUALIZACAO 01
LM-01110;TQ EQUALIZACAO 02
LM-01110;TQ EQUALIZACAO 03
LM-01110;TQ EQUALIZACAO 04
LM-01110;TQ EQUALIZACAO 05
LM-01110;TQ EQUALIZACAO 06
LM-01110;TQ EQUALIZACAO 08
LM-01110;TQ FLOCULACAO 01
LM-01110;TQ LODO EXCED 01
LM-01110;TQ NEUTRALIZA 01
LM-01110;TQ OLEO RECUP 01
LM-01210;COMPRESSOR AR 01
LM-01210;COMPRESSOR AR 02
LM-01210;COMPRESSOR AR 03
LM-01210;COMPRESSOR AR 04
LM-01210;COMPRESSOR AR 05
LM-01210;COMPRESSOR AR 06
LM-01210;SECADOR AR 01
LM-01210;SECADOR AR 02
LM-01210;SECADOR AR 03
LM-01310;AQUECEDOR AGUA 01
LM-01310;AQUECEDOR AGUA 02
LM-01310;BOILER 01
LM-01410;COMPRESSOR FRIO 01
LM-01410;COMPRESSOR FRIO 02
LM-01410;COMPRESSOR FRIO 03
LM-01410;FAN COIL 01
LM-01410;FAN COIL 02
LM-01410;FAN COIL 03
LM-01410;FAN COIL 04
LM-01410;FAN COIL 05
LM-01410;FAN COIL 06
LM-01410;FAN COIL 07
LM-01410;FAN COIL 08
LM-01410;FAN COIL 09
LM-01410;FAN COIL 10
LM-01410;FAN COIL 11
LM-01410;FAN COIL 12
LM-01410;FAN COIL 13
LM-01410;FAN COIL 14
LM-01410;FAN COIL 15
LM-01410;FAN COIL 16
LM-01410;FAN COIL 17
LM-01410;FAN COIL 18
LM-01410;FAN COIL 19
LM-01410;FAN COIL 20
LM-01410;SALA DE PAINEIS 01
LM-01410;SALA DE PAINEIS 02
LM-01410;SALA DE PAINEIS 03
LM-01410;TORRE REFRIGER 01
LM-01410;TORRE REFRIGER 02
LM-01410;TORRE REFRIGER 03
LM-01410;TORRE REFRIGER 04
LM-01410;TORRE REFRIGER 05
LM-01410;TORRE REFRIGER 06
LM-01410;TRATAMENTO AR 01
LM-01810;BOMBA DE VACUO 01
LM-01810;BOMBA DE VACUO 02
LM-01810;BOMBA DE VACUO 03
LM-01810;TQ DE VACUO 01
LM-06010;SUBESTACAO 01
LM-06020;SUBESTACAO 01
LM-06410;
LM-06410;SUBESTACAO 01
LM-07120;ALMOXARIFADO 03
LM-07210;OF INSTRUMT 01
LM-07220;OF AUTOMACAO 01
LM-07270;FERRAMENTARIA 01
LM-07271;LAB IMPR 3D 01
LM-07310;LAB FISIC QUIMI 01
LM-07310;LAB FISIC QUIMI 02
LM-07310;LAB FISIC QUIMI 03
LM-07310;LAB FISIC QUIMI 04
LM-07710;BALER 01
LM-07710;BALER 02
LM-07710;BALER 03
LM-09010;BALANCA RODOV 01
LM-09210;COMB INCENDIO 01
LM-09230;EXTINTORES 01
